id_client;date_demande;sexe;Tranche d'age;Enfant conduite accompagnée;Enfants;Tranche Revenus;usage_vehicule;type_vehicule;Age du vehicule;type_conduite;Tranche Tarif;points_perdus
59;22/01/2022;F;[+65];oui;oui;[-50k];Private;Van;[Moins de 10 ans];Urban;[Moins de 300];0
60;26/04/2022;F;[29-45];oui;oui;[-50k];Private;Sports Car;[Moins de 10 ans];Urban;[Moins de 300];1
61;23/03/2022;F;[+65];oui;oui;[50k-99k];Private;Minivan;[N/A];Urban;[Moins de 300];0
62;27/04/2022;F;[50-65];oui;oui;[-50k];Private;Pickup;[Moins de 10 ans];Urban;[Moins de 300];0
63;24/05/2022;F;[+65];oui;oui;[50k-99k];Commercial;Van;[Moins de 10 ans];Urban;[Moins de 300];0
64;09/05/2022;F;[+65];oui;oui;[-50k];Private;Sports Car;[Moins de 10 ans];Urban;[Moins de 300];0
65;22/04/2022;F;Mineur;oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Urban;[Moins de 300];0
66;17/05/2022;M;[50-65];oui;oui;[50k-99k];Private;SUV;[Moins de 10 ans];Urban;[Moins de 300];5
67;01/05/2022;M;[+65];oui;oui;[50k-99k];Private;Pickup;[Moins de 10 ans];Urban;[Moins de 300];0
68;29/05/2022;M;[50-65];oui;oui;[-50k];Private;Minivan;[Moins de 10 ans];Rural;[Moins de 300];3
69;04/04/2022;M;[+65];oui;oui;[-50k];Private;SUV;[N/A];Urban;[Moins de 300];2
70;27/01/2022;F;[18-28];oui;oui;[50k-99k];Commercial;Pickup;[Moins de 10 ans];Urban;[300-599];1
71;13/01/2022;F;Mineur;oui;oui;[50k-99k];Private;SUV;[Moins de 10 ans];Urban;[300-599];0
72;08/01/2022;M;[29-45];oui;oui;[+150k];Private;SUV;[N/A];Urban;[Moins de 300];2
73;05/04/2022;M;Mineur;oui;oui;[50k-99k];Private;Minivan;[Moins de 10 ans];Urban;[Moins de 300];2
74;14/02/2022;F;[+65];oui;oui;[50k-99k];Private;Minivan;[Moins de 10 ans];Rural;[300-599];2
75;14/01/2022;M;[+65];oui;oui;[-50k];Private;Pickup;[Moins de 10 ans];Urban;[Moins de 300];0
76;20/04/2022;F;[29-45];oui;oui;[100k-149k];Private;SUV;[N/A];Urban;[300-599];1
77;10/05/2022;F;[+65];oui;oui;[50k-99k];Commercial;Minivan;[Moins de 10 ans];Urban;[Moins de 300];5
78;24/01/2022;M;[50-65];oui;oui;[-50k];Commercial;Panel Truck;[N/A];Urban;[300-599];4
79;01/02/2022;F;[50-65];oui;oui;[-50k];Private;Minivan;[Moins de 10 ans];Urban;[Moins de 300];4
80;20/04/2022;M;[50-65];oui;oui;[100k-149k];Private;Minivan;[Moins de 10 ans];Urban;[300-599];1
81;02/01/2022;M;[+65];oui;oui;[-50k];Private;Sports Car;[Moins de 10 ans];Rural;[Moins de 300];0
82;18/02/2022;M;[50-65];oui;oui;[100k-149k];Commercial;Van;[Moins de 10 ans];Rural;[Moins de 300];0
83;27/04/2022;F;[50-65];oui;oui;[-50k];Commercial;SUV;[Moins de 10 ans];Urban;[Moins de 300];0
84;09/05/2022;M;[50-65];oui;oui;[-50k];Private;Sports Car;[N/A];Rural;[Moins de 300];1
85;14/01/2022;M;[50-65];oui;oui;[50k-99k];Commercial;Pickup;[Moins de 10 ans];Urban;[Moins de 300];2
86;30/03/2022;M;[29-45];oui;oui;[-50k];Private;Minivan;[Moins de 10 ans];Urban;[Moins de 300];0
87;25/01/2022;M;[50-65];oui;oui;[N/A];Private;Minivan;[N/A];Urban;[300-599];0
88;28/05/2022;F;[18-28];oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Rural;[Moins de 300];0
89;12/02/2022;M;[50-65];oui;oui;[-50k];Private;Minivan;[N/A];Urban;[300-599];0
90;11/01/2022;M;[50-65];oui;oui;[-50k];Private;Sports Car;[Moins de 10 ans];Rural;[Moins de 300];0
91;15/04/2022;M;[+65];oui;oui;[50k-99k];Commercial;Minivan;[Moins de 10 ans];Urban;[Moins de 300];3
92;28/03/2022;F;Mineur;oui;oui;[-50k];Private;Minivan;[Moins de 10 ans];Urban;[300-599];1
93;26/02/2022;F;Mineur;oui;oui;[50k-99k];Private;Sports Car;[Moins de 10 ans];Urban;[300-599];6
94;17/01/2022;M;[50-65];oui;oui;[50k-99k];Private;Van;[Moins de 10 ans];Urban;[Moins de 300];0
95;16/04/2022;F;[+65];oui;oui;[50k-99k];Private;Pickup;[N/A];Urban;[Moins de 300];4
96;12/01/2022;F;[50-65];oui;oui;[-50k];Commercial;Pickup;[Moins de 10 ans];Rural;[300-599];1
97;23/03/2022;M;[50-65];oui;oui;[-50k];Private;Minivan;[Moins de 10 ans];Urban;[Moins de 300];7
98;17/04/2022;F;[29-45];oui;oui;[50k-99k];Private;Minivan;[Moins de 10 ans];Urban;[Moins de 300];0
99;05/05/2022;M;[29-45];oui;oui;[50k-99k];Private;Van;[Moins de 10 ans];Urban;[300-599];1
100;28/02/2022;M;[18-28];oui;oui;[50k-99k];Commercial;SUV;[Moins de 10 ans];Urban;[300-599];0
101;12/02/2022;M;[+65];oui;oui;[-50k];Commercial;Pickup;[N/A];Urban;[300-599];2
102;07/01/2022;F;[18-28];oui;oui;[50k-99k];Private;Minivan;[Moins de 10 ans];Urban;[300-599];0
103;07/01/2022;M;[50-65];oui;oui;[100k-149k];Private;Minivan;[N/A];Urban;[300-599];6
104;12/01/2022;M;Mineur;oui;oui;[+150k];Commercial;Panel Truck;[N/A];Urban;[Moins de 300];4
105;24/05/2022;M;[50-65];oui;oui;[50k-99k];Private;Minivan;[N/A];Urban;[300-599];1
106;25/03/2022;M;[18-28];oui;oui;[N/A];Commercial;Panel Truck;[N/A];Urban;[Moins de 300];0
107;02/01/2022;F;[+65];oui;oui;[-50k];Private;Minivan;[Moins de 10 ans];Urban;[300-599];0
108;01/03/2022;M;[29-45];oui;oui;[50k-99k];Commercial;Minivan;[N/A];Rural;[300-599];1
109;28/01/2022;F;[50-65];oui;oui;[100k-149k];Private;Minivan;[N/A];Urban;[Moins de 300];5
110;29/04/2022;M;[+65];oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Urban;[300-599];0
111;20/01/2022;M;[50-65];oui;oui;[50k-99k];Commercial;SUV;[Moins de 10 ans];Urban;[Moins de 300];0
112;06/05/2022;M;[50-65];oui;oui;[100k-149k];Commercial;Minivan;[N/A];Urban;[Moins de 300];0
113;14/03/2022;M;[+65];oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Urban;[Moins de 300];0
114;20/03/2022;F;[+65];oui;oui;[-50k];Commercial;Minivan;[Moins de 10 ans];Urban;[Moins de 300];2
115;18/01/2022;F;[50-65];oui;oui;[50k-99k];Private;SUV;[N/A];Urban;[300-599];0
116;23/01/2022;F;[50-65];oui;oui;[-50k];Private;Minivan;[Moins de 10 ans];Rural;[300-599];0
117;07/01/2022;F;[+65];oui;oui;[-50k];Private;Sports Car;[N/A];Rural;[Moins de 300];0
118;02/01/2022;F;[50-65];oui;oui;[-50k];Private;Pickup;[Moins de 10 ans];Urban;[300-599];0
119;23/05/2022;M;Mineur;oui;oui;[50k-99k];Commercial;Sports Car;[Moins de 10 ans];Urban;[300-599];2
120;29/05/2022;M;Mineur;oui;oui;[50k-99k];Private;Minivan;[N/A];Urban;[300-599];0
121;09/02/2022;M;[+65];oui;oui;[-50k];Private;SUV;[N/A];Rural;[300-599];0
122;17/02/2022;M;[50-65];oui;oui;[50k-99k];Private;Minivan;[N/A];Urban;[Moins de 300];2
123;06/05/2022;M;[+65];oui;oui;[100k-149k];Private;SUV;[N/A];Urban;[300-599];0
124;25/01/2022;F;[50-65];oui;oui;[50k-99k];Private;Pickup;[N/A];Urban;[300-599];0
125;01/01/2022;F;[29-45];oui;oui;[-50k];Private;Van;[Moins de 10 ans];Urban;[300-599];4
126;02/04/2022;M;[29-45];oui;oui;[50k-99k];Private;Minivan;[Moins de 10 ans];Urban;[Moins de 300];0
127;14/04/2022;M;[+65];oui;oui;[100k-149k];Private;Minivan;[Moins de 10 ans];Urban;[Moins de 300];2
128;07/03/2022;M;[18-28];oui;oui;[-50k];Commercial;Minivan;[Moins de 10 ans];Rural;[Moins de 300];7
129;04/04/2022;M;[18-28];oui;oui;[50k-99k];Commercial;Sports Car;[N/A];Urban;[300-599];1
130;20/04/2022;M;[50-65];oui;oui;[100k-149k];Private;Minivan;[N/A];Urban;[Moins de 300];1
131;25/02/2022;F;[+65];oui;oui;[-50k];Private;Sports Car;[N/A];Urban;[Moins de 300];0
132;28/05/2022;F;[+65];oui;oui;[-50k];Private;Minivan;[Moins de 10 ans];Urban;[600-799];8
133;18/03/2022;M;Mineur;oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Rural;[Moins de 300];0
134;25/02/2022;M;[50-65];oui;oui;[-50k];Private;Minivan;[Moins de 10 ans];Urban;[Moins de 300];3
135;08/04/2022;F;Mineur;oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Urban;[Moins de 300];0
136;01/05/2022;F;[+65];oui;oui;[50k-99k];Private;Minivan;[N/A];Urban;[300-599];0
137;27/03/2022;M;Mineur;oui;oui;[-50k];Commercial;Van;[N/A];Urban;[300-599];2
138;11/05/2022;M;[29-45];oui;oui;[100k-149k];Commercial;Van;[Moins de 10 ans];Urban;[Moins de 300];4
139;31/05/2022;M;[50-65];oui;oui;[-50k];Commercial;SUV;[Moins de 10 ans];Urban;[Moins de 300];4
140;24/04/2022;F;[29-45];oui;oui;[N/A];Private;Sports Car;[Moins de 10 ans];Urban;[300-599];6
141;06/03/2022;M;[50-65];oui;oui;[50k-99k];Commercial;Sports Car;[Moins de 10 ans];Urban;[300-599];2
142;18/02/2022;F;[50-65];oui;oui;[100k-149k];Private;Minivan;[Moins de 10 ans];Urban;[Moins de 300];0
143;05/01/2022;F;Mineur;oui;oui;[100k-149k];Private;Pickup;[N/A];Urban;[300-599];0
144;19/02/2022;M;[+65];oui;oui;[-50k];Private;SUV;[N/A];Urban;[300-599];5
145;21/05/2022;M;[+65];oui;oui;[-50k];Commercial;SUV;[N/A];Urban;[Moins de 300];7
146;13/05/2022;M;[50-65];oui;oui;[-50k];Private;SUV;[N/A];Urban;[Moins de 300];2
147;20/02/2022;M;[50-65];oui;oui;[50k-99k];Private;SUV;[Moins de 10 ans];Urban;[300-599];0
148;16/04/2022;M;[29-45];oui;oui;[-50k];Private;SUV;[10-20];Rural;[Moins de 300];1
149;03/03/2022;F;[+65];oui;oui;[50k-99k];Private;SUV;[N/A];Urban;[Moins de 300];0
150;26/02/2022;F;[+65];oui;oui;[50k-99k];Private;Minivan;[N/A];Rural;[Moins de 300];0
151;19/02/2022;M;[+65];oui;oui;[-50k];Private;Minivan;[10-20];Urban;[300-599];0
152;05/03/2022;F;[50-65];oui;oui;[50k-99k];Private;SUV;[Moins de 10 ans];Urban;[Moins de 300];2
153;11/01/2022;F;[50-65];oui;oui;[N/A];Private;Minivan;[Moins de 10 ans];Urban;[Moins de 300];3
154;25/03/2022;M;[29-45];oui;oui;[-50k];Private;Minivan;[Moins de 10 ans];Urban;[Moins de 300];1
155;22/02/2022;F;[+65];oui;oui;[-50k];Commercial;Pickup;[Moins de 10 ans];Rural;[Moins de 300];0
156;14/01/2022;M;[+65];oui;oui;[100k-149k];Commercial;Van;[N/A];Urban;[300-599];0
157;08/04/2022;F;[+65];oui;oui;[-50k];Private;Sports Car;[Moins de 10 ans];Urban;[Moins de 300];5
158;17/04/2022;M;[+65];oui;oui;[50k-99k];Private;Pickup;[N/A];Urban;[300-599];0
159;14/05/2022;M;[+65];oui;oui;[100k-149k];Commercial;Minivan;[Moins de 10 ans];Rural;[300-599];0
160;02/02/2022;M;[+65];oui;oui;[50k-99k];Commercial;SUV;[Moins de 10 ans];Urban;[Moins de 300];6
161;21/05/2022;M;[+65];oui;oui;[50k-99k];Private;Sports Car;[Moins de 10 ans];Urban;[Moins de 300];0
162;09/03/2022;M;[29-45];oui;oui;[100k-149k];Private;SUV;[N/A];Urban;[300-599];2
163;27/02/2022;F;[50-65];oui;oui;[+150k];Private;Minivan;[N/A];Rural;[300-599];1
164;03/04/2022;F;[+65];oui;oui;[-50k];Private;Minivan;[N/A];Urban;[300-599];0
165;02/04/2022;F;[50-65];oui;oui;[-50k];Private;Sports Car;[Moins de 10 ans];Rural;[Moins de 300];1
166;08/04/2022;F;[50-65];oui;oui;[-50k];Private;Minivan;[Moins de 10 ans];Urban;[Moins de 300];1
167;31/05/2022;F;[+65];oui;oui;[50k-99k];Private;Sports Car;[N/A];Urban;[Moins de 300];0
168;16/05/2022;F;[18-28];oui;oui;[-50k];Commercial;Pickup;[Moins de 10 ans];Urban;[Moins de 300];0
169;22/04/2022;F;[50-65];oui;oui;[100k-149k];Commercial;Panel Truck;[N/A];Urban;[Moins de 300];1
170;30/05/2022;F;[+65];oui;oui;[-50k];Commercial;SUV;[N/A];Urban;[300-599];2
171;01/02/2022;M;[29-45];oui;oui;[50k-99k];Private;Pickup;[N/A];Urban;[Moins de 300];1
172;31/05/2022;F;[29-45];oui;oui;[-50k];Commercial;Minivan;[Moins de 10 ans];Urban;[300-599];2
173;16/02/2022;M;[50-65];oui;oui;[50k-99k];Commercial;Minivan;[N/A];Rural;[300-599];0
174;21/05/2022;F;[50-65];oui;oui;[50k-99k];Private;Minivan;[20 ans+];Urban;[300-599];0
175;26/04/2022;M;[50-65];oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Urban;[Moins de 300];2
176;14/01/2022;M;[+65];oui;oui;[100k-149k];Commercial;Pickup;[N/A];Urban;[Moins de 300];6
177;16/02/2022;F;[50-65];oui;oui;[-50k];Commercial;Van;[N/A];Urban;[Moins de 300];0
178;01/01/2022;M;[29-45];oui;oui;[N/A];Private;Sports Car;[N/A];Urban;[Moins de 300];0
179;14/01/2022;M;[50-65];oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Rural;[Moins de 300];0
180;10/05/2022;F;[50-65];oui;oui;[-50k];Commercial;Van;[Moins de 10 ans];Urban;[300-599];0
181;02/05/2022;F;[+65];oui;oui;[50k-99k];Commercial;Pickup;[N/A];Urban;[Moins de 300];1
182;10/02/2022;F;[18-28];oui;oui;[-50k];Commercial;Van;[Moins de 10 ans];Rural;[Moins de 300];1
183;08/01/2022;M;[50-65];oui;oui;[+150k];Commercial;Panel Truck;[N/A];Rural;[300-599];0
184;12/01/2022;F;[+65];oui;oui;[100k-149k];Private;Van;[10-20];Urban;[300-599];0
185;27/05/2022;F;[+65];oui;oui;[-50k];Private;Pickup;[Moins de 10 ans];Urban;[Moins de 300];1
186;10/04/2022;M;[18-28];oui;oui;[-50k];Commercial;SUV;[Moins de 10 ans];Urban;[300-599];6
187;23/03/2022;F;[+65];oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Urban;[300-599];0
188;24/05/2022;F;[18-28];oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Urban;[300-599];0
189;05/01/2022;F;[+65];oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Urban;[300-599];0
190;17/05/2022;F;Mineur;oui;oui;[50k-99k];Private;Minivan;[N/A];Urban;[300-599];0
191;30/05/2022;M;[29-45];oui;oui;[50k-99k];Commercial;Van;[N/A];Urban;[Moins de 300];5
192;25/01/2022;M;Mineur;oui;oui;[-50k];Private;Sports Car;[Moins de 10 ans];Urban;[300-599];3
193;30/01/2022;F;[+65];oui;oui;[100k-149k];Private;Sports Car;[Moins de 10 ans];Rural;[300-599];0
194;04/01/2022;F;[29-45];oui;oui;[50k-99k];Commercial;Panel Truck;[Moins de 10 ans];Urban;[300-599];1
195;11/02/2022;F;[50-65];oui;oui;[+150k];Private;SUV;[N/A];Urban;[300-599];0
196;07/04/2022;F;[+65];oui;oui;[50k-99k];Private;Sports Car;[Moins de 10 ans];Urban;[300-599];3
197;09/02/2022;F;[50-65];oui;oui;[50k-99k];Private;Minivan;[N/A];Urban;[Moins de 300];4
198;27/04/2022;M;[+65];oui;oui;[100k-149k];Commercial;Panel Truck;[N/A];Urban;[Moins de 300];2
199;25/05/2022;F;[50-65];oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Urban;[300-599];0
200;10/02/2022;F;[+65];oui;oui;[-50k];Commercial;Minivan;[N/A];Rural;[Moins de 300];0
201;14/03/2022;M;Mineur;oui;oui;[-50k];Private;Sports Car;[Moins de 10 ans];Urban;[Moins de 300];9
202;11/05/2022;M;[+65];oui;oui;[50k-99k];Commercial;Pickup;[Moins de 10 ans];Urban;[300-599];4
203;09/04/2022;M;[50-65];oui;oui;[-50k];Commercial;Minivan;[Moins de 10 ans];Urban;[300-599];0
204;14/04/2022;F;[+65];oui;oui;[50k-99k];Commercial;SUV;[N/A];Rural;[300-599];2
205;18/04/2022;M;[+65];oui;oui;[-50k];Private;Sports Car;[Moins de 10 ans];Urban;[Moins de 300];3
206;23/03/2022;M;[50-65];oui;oui;[50k-99k];Commercial;Minivan;[Moins de 10 ans];Urban;[Moins de 300];0
207;09/05/2022;M;[+65];oui;oui;[50k-99k];Commercial;Minivan;[N/A];Urban;[300-599];6
208;04/02/2022;M;[50-65];oui;oui;[-50k];Private;Minivan;[N/A];Rural;[Moins de 300];0
209;19/04/2022;M;[50-65];oui;oui;[-50k];Commercial;Panel Truck;[Moins de 10 ans];Urban;[300-599];1
210;03/04/2022;F;[50-65];oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Rural;[300-599];0
211;18/01/2022;F;[18-28];oui;oui;[50k-99k];Private;Minivan;[Moins de 10 ans];Rural;[Moins de 300];1
212;23/03/2022;F;[50-65];oui;oui;[100k-149k];Commercial;Panel Truck;[N/A];Urban;[Moins de 300];1
213;02/05/2022;F;[50-65];oui;oui;[-50k];Private;SUV;[N/A];Urban;[Moins de 300];1
214;19/01/2022;F;[50-65];oui;oui;[-50k];Commercial;Van;[Moins de 10 ans];Urban;[Moins de 300];1
215;15/02/2022;M;[50-65];oui;oui;[-50k];Commercial;Van;[N/A];Urban;[Moins de 300];5
216;03/01/2022;M;[50-65];oui;oui;[100k-149k];Private;SUV;[N/A];Urban;[300-599];0
217;27/03/2022;F;[50-65];oui;oui;[-50k];Private;Pickup;[Moins de 10 ans];Urban;[Moins de 300];2
218;02/04/2022;F;Mineur;oui;oui;[50k-99k];Private;SUV;[N/A];Urban;[300-599];8
219;30/04/2022;M;[50-65];oui;oui;[-50k];Private;Sports Car;[Moins de 10 ans];Urban;[300-599];0
220;07/04/2022;M;[+65];oui;oui;[-50k];Private;Minivan;[Moins de 10 ans];Rural;[300-599];1
221;22/01/2022;M;[+65];oui;oui;[100k-149k];Private;Sports Car;[N/A];Urban;[300-599];0
222;07/05/2022;M;[+65];oui;oui;[N/A];Commercial;Pickup;[N/A];Rural;[300-599];0
223;07/01/2022;F;[29-45];oui;oui;[50k-99k];Private;SUV;[Moins de 10 ans];Urban;[300-599];4
224;05/01/2022;F;Mineur;oui;oui;[100k-149k];Commercial;SUV;[Moins de 10 ans];Urban;[300-599];5
225;13/05/2022;F;[+65];oui;oui;[-50k];Commercial;Minivan;[Moins de 10 ans];Urban;[300-599];0
226;11/05/2022;M;[50-65];oui;oui;[100k-149k];Private;Minivan;[10-20];Urban;[Moins de 300];4
227;29/03/2022;F;[+65];oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Urban;[300-599];3
228;12/02/2022;M;[18-28];oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Rural;[300-599];0
229;18/03/2022;F;[+65];oui;oui;[-50k];Private;Minivan;[Moins de 10 ans];Urban;[300-599];0
230;25/01/2022;F;[+65];oui;oui;[-50k];Private;Pickup;[Moins de 10 ans];Urban;[Moins de 300];5
231;11/05/2022;F;[18-28];oui;oui;[50k-99k];Private;SUV;[N/A];Urban;[Moins de 300];3
232;04/05/2022;M;Mineur;oui;oui;[50k-99k];Private;Minivan;[Moins de 10 ans];Urban;[Moins de 300];0
233;22/01/2022;F;[29-45];oui;oui;[50k-99k];Private;Minivan;[N/A];Urban;[Moins de 300];3
234;06/01/2022;F;[29-45];oui;oui;[50k-99k];Commercial;SUV;[10-20];Urban;[Moins de 300];2
235;11/04/2022;F;[+65];oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Rural;[300-599];2
236;22/03/2022;M;[+65];oui;oui;[-50k];Private;Pickup;[N/A];Urban;[Moins de 300];0
237;31/03/2022;F;[29-45];oui;oui;[+150k];Commercial;Panel Truck;[N/A];Urban;[300-599];0
238;09/03/2022;F;[+65];oui;oui;[+150k];Private;SUV;[N/A];Urban;[Moins de 300];0
239;07/05/2022;M;[+65];oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Urban;[Moins de 300];5
240;24/02/2022;F;[+65];oui;oui;[50k-99k];Private;Minivan;[10-20];Urban;[300-599];3
241;24/05/2022;F;[29-45];oui;oui;[50k-99k];Private;Minivan;[N/A];Urban;[Moins de 300];0
242;25/02/2022;M;[50-65];oui;oui;[50k-99k];Commercial;SUV;[Moins de 10 ans];Urban;[Moins de 300];0
